rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
74,frame_0332.jpg,132.8,0.538,0.7172,0.5714,0.04,5,4,False,False
75,frame_0016.jpg,6.4,0.5344,0.4116,0.4286,1.0,5,3,False,False
76,frame_0388.jpg,155.2,0.5331,0.5737,0.7143,0.16,10,5,False,False
77,frame_0209.jpg,83.6,0.5327,0.606,0.2857,0.72,3,2,False,False
78,frame_0116.jpg,46.4,0.5316,0.7478,0.2857,0.36,6,2,False,False
79,frame_0174.jpg,69.6,0.5309,0.6767,0.4286,0.32,4,3,False,False
80,frame_0321.jpg,128.4,0.5306,0.6384,0.5714,0.2,6,4,False,False
81,frame_0277.jpg,110.8,0.53,0.6908,0.4286,0.28,8,3,False,False
82,frame_0015.jpg,6.0,0.5287,0.4859,0.2857,1.0,4,2,False,False
83,frame_0207.jpg,82.8,0.527,0.5625,0.2857,0.8,2,2,False,False
84,frame_0014.jpg,5.6,0.5253,0.3934,0.4286,1.0,5,3,False,False
85,frame_0282.jpg,112.8,0.5247,0.5145,0.5714,0.48,7,4,False,False
86,frame_0123.jpg,49.2,0.5239,0.7061,0.1429,0.64,5,1,False,False
87,frame_0288.jpg,115.2,0.5219,0.5844,0.2857,0.72,5,2,False,False
88,frame_0087.jpg,34.8,0.5217,0.5943,0.4286,0.48,3,3,False,False
89,frame_0199.jpg,79.6,0.5205,0.7632,0.1429,0.48,1,1,False,False
90,frame_0300.jpg,120.0,0.5191,0.5033,0.5714,0.48,8,4,False,False
91,frame_0389.jpg,155.6,0.5188,0.7324,0.4286,0.12,6,3,False,False
92,frame_0177.jpg,70.8,0.5186,0.6143,0.5714,0.2,5,4,False,False
93,frame_0272.jpg,108.8,0.5177,0.7463,0.4286,0.08,3,3,False,False
94,frame_0131.jpg,52.4,0.515,0.3888,0.4286,0.96,6,3,False,False
95,frame_0376.jpg,150.4,0.5144,0.7076,0.4286,0.16,6,3,False,False
96,frame_0020.jpg,8.0,0.5137,0.5417,0.1429,1.0,3,1,False,False
97,frame_0394.jpg,157.6,0.5092,0.7293,0.4286,0.08,3,3,False,False
98,frame_0333.jpg,133.2,0.5076,0.6403,0.5714,0.08,6,4,False,False
99,frame_0127.jpg,50.8,0.5046,0.5177,0.2857,0.8,7,2,False,False
100,frame_0188.jpg,75.2,0.5031,0.5616,0.7143,0.04,8,5,False,False
101,frame_0133.jpg,53.2,0.5027,0.3482,0.4286,1.0,6,3,False,False
102,frame_0080.jpg,32.0,0.5002,0.4392,0.4286,0.76,7,3,False,False
103,frame_0211.jpg,84.4,0.5002,0.4873,0.4286,0.64,3,3,False,False
104,frame_0168.jpg,67.2,0.5,0.6045,0.2857,0.56,7,2,False,False
105,frame_0317.jpg,126.8,0.4973,0.6575,0.4286,0.2,5,3,False,False
106,frame_0173.jpg,69.2,0.4969,0.5927,0.4286,0.36,6,3,False,False
107,frame_0193.jpg,77.2,0.4956,0.5524,0.5714,0.24,6,4,False,False
108,frame_0399.jpg,159.6,0.4944,0.5339,0.5714,0.28,7,4,False,False
109,frame_0368.jpg,147.2,0.4916,0.6244,0.5714,0.04,9,4,False,False
110,frame_0019.jpg,7.6,0.4879,0.49,0.1429,1.0,2,1,False,False
111,frame_0095.jpg,38.0,0.486,0.5652,0.5714,0.16,6,4,False,False
112,frame_0126.jpg,50.4,0.4812,0.4869,0.2857,0.76,5,2,False,False
113,frame_0215.jpg,86.0,0.4804,0.5973,0.2857,0.48,3,2,False,False
114,frame_0285.jpg,114.0,0.4788,0.6318,0.1429,0.6,4,1,False,False
115,frame_0328.jpg,131.2,0.4786,0.5824,0.5714,0.08,7,4,False,False
116,frame_0268.jpg,107.2,0.4768,0.5787,0.5714,0.08,4,4,False,False
117,frame_0378.jpg,151.2,0.4768,0.6645,0.4286,0.08,9,3,False,False
118,frame_0175.jpg,70.0,0.4762,0.669,0.2857,0.28,5,2,False,False
119,frame_0018.jpg,7.2,0.4753,0.4649,0.1429,1.0,5,1,False,False
120,frame_0391.jpg,156.4,0.4738,0.5887,0.5714,0.04,7,4,False,False
121,frame_0124.jpg,49.6,0.4717,0.4143,0.4286,0.68,8,3,False,False
122,frame_0281.jpg,112.4,0.47,0.5925,0.2857,0.44,7,2,False,False
123,frame_0185.jpg,74.0,0.4685,0.6479,0.4286,0.08,6,3,False,False
124,frame_0205.jpg,82.0,0.4685,0.5633,0.1429,0.72,2,1,False,False
125,frame_0069.jpg,27.6,0.4682,0.365,0.2857,1.0,6,2,False,False
126,frame_0315.jpg,126.0,0.4659,0.541,0.5714,0.12,8,4,False,False
127,frame_0079.jpg,31.6,0.4644,0.5231,0.1429,0.8,5,1,False,False
128,frame_0280.jpg,112.0,0.4642,0.597,0.2857,0.4,7,2,False,False
129,frame_0118.jpg,47.2,0.4639,0.4947,0.4286,0.44,5,3,False,False
130,frame_0081.jpg,32.4,0.4613,0.3775,0.4286,0.72,6,3,False,False
131,frame_0121.jpg,48.4,0.4606,0.4401,0.4286,0.56,5,3,False,False
132,frame_0275.jpg,110.0,0.4604,0.6694,0.2857,0.2,5,2,False,False
133,frame_0222.jpg,88.8,0.4603,0.5835,0.4286,0.2,6,3,False,False
134,frame_0167.jpg,66.8,0.4588,0.5061,0.2857,0.6,5,2,False,False
135,frame_0228.jpg,91.2,0.4584,0.6437,0.4286,0.04,3,3,False,False
136,frame_0098.jpg,39.2,0.458,0.6428,0.4286,0.04,5,3,False,False
137,frame_0379.jpg,151.6,0.4572,0.5556,0.5714,0.04,10,4,False,False
138,frame_0105.jpg,42.0,0.4569,0.6246,0.4286,0.08,6,3,False,False
139,frame_0086.jpg,34.4,0.4554,0.4457,0.4286,0.52,4,3,False,False
140,frame_0305.jpg,122.0,0.4544,0.6254,0.2857,0.28,5,2,False,False
141,frame_0171.jpg,68.4,0.454,0.5606,0.2857,0.44,5,2,False,False
142,frame_0307.jpg,122.8,0.4534,0.5696,0.4286,0.2,8,3,False,False
143,frame_0197.jpg,78.8,0.4502,0.6546,0.1429,0.4,1,1,False,False
144,frame_0298.jpg,119.2,0.4494,0.5034,0.2857,0.56,6,2,False,False
145,frame_0330.jpg,132.0,0.4475,0.6219,0.4286,0.04,9,3,False,False
146,frame_0390.jpg,156.0,0.4471,0.6051,0.4286,0.08,6,3,False,False
147,frame_0189.jpg,75.6,0.4459,0.6883,0.2857,0.08,4,2,False,False
148,frame_0085.jpg,34.0,0.4451,0.5804,0.1429,0.56,2,1,False,False
149,frame_0100.jpg,40.0,0.4435,0.6139,0.4286,0.04,4,3,False,False
150,frame_0395.jpg,158.0,0.4433,0.4958,0.5714,0.12,5,4,False,False
151,frame_0289.jpg,115.6,0.4429,0.4961,0.1429,0.76,4,1,False,False
152,frame_0202.jpg,80.8,0.439,0.5522,0.1429,0.6,4,1,False,False
153,frame_0206.jpg,82.4,0.4375,0.571,0.0,0.76,2,0,False,False
154,frame_0082.jpg,32.8,0.4367,0.4299,0.2857,0.68,5,2,False,False
155,frame_0184.jpg,73.6,0.4349,0.6664,0.2857,0.08,6,2,False,False
156,frame_0094.jpg,37.6,0.4348,0.4468,0.5714,0.2,5,4,False,False
157,frame_0032.jpg,12.8,0.4342,0.3826,0.1429,1.0,5,1,False,False
158,frame_0314.jpg,125.6,0.4338,0.4927,0.5714,0.08,5,4,False,False
159,frame_0218.jpg,87.2,0.4337,0.552,0.2857,0.36,3,2,False,False
160,frame_0104.jpg,41.6,0.4304,0.5557,0.4286,0.12,4,3,False,False
161,frame_0084.jpg,33.6,0.4285,0.5313,0.1429,0.6,2,1,False,False
162,frame_0216.jpg,86.4,0.4283,0.6805,0.0,0.44,3,0,False,False
163,frame_0083.jpg,33.2,0.4274,0.4274,0.2857,0.64,2,2,False,False
164,frame_0367.jpg,146.8,0.4267,0.4786,0.5714,0.08,7,4,False,False
165,frame_0117.jpg,46.8,0.426,0.5206,0.2857,0.4,6,2,False,False
166,frame_0122.jpg,48.8,0.4255,0.3538,0.4286,0.6,4,3,False,False
167,frame_0208.jpg,83.2,0.4221,0.4544,0.1429,0.76,3,1,False,False
168,frame_0385.jpg,154.0,0.4207,0.59,0.2857,0.2,7,2,False,False
169,frame_0089.jpg,35.6,0.4199,0.337,0.5714,0.4,6,4,False,False
170,frame_0198.jpg,79.2,0.4196,0.5774,0.1429,0.44,2,1,False,False
171,frame_0026.jpg,10.4,0.4182,0.2649,0.2857,1.0,5,2,False,False
172,frame_0108.jpg,43.2,0.4173,0.5614,0.4286,0.04,6,3,False,False
173,frame_0109.jpg,43.6,0.4164,0.458,0.5714,0.08,6,4,False,False
174,frame_0308.jpg,123.2,0.415,0.4232,0.5714,0.16,5,4,False,False
175,frame_0180.jpg,72.0,0.4141,0.4533,0.5714,0.08,8,4,False,False
176,frame_0398.jpg,159.2,0.4126,0.6434,0.1429,0.24,7,1,False,False
177,frame_0195.jpg,78.0,0.4116,0.6095,0.1429,0.32,2,1,False,False
178,frame_0283.jpg,113.2,0.4115,0.4436,0.2857,0.52,5,2,False,False
179,frame_0217.jpg,86.8,0.4069,0.4823,0.2857,0.4,3,2,False,False
180,frame_0269.jpg,107.6,0.4066,0.6257,0.2857,0.04,4,2,False,False
181,frame_0232.jpg,92.8,0.402,0.5525,0.2857,0.2,6,2,False,False
182,frame_0200.jpg,80.0,0.4007,0.5077,0.1429,0.52,2,1,False,False
183,frame_0220.jpg,88.0,0.3981,0.5127,0.2857,0.28,3,2,False,False
184,frame_0088.jpg,35.2,0.3977,0.5336,0.1429,0.44,5,1,False,False
185,frame_0293.jpg,117.2,0.3962,0.3169,0.2857,0.76,6,2,False,False
186,frame_0120.jpg,48.0,0.396,0.4126,0.2857,0.52,4,2,False,False
187,frame_0212.jpg,84.8,0.3933,0.5467,0.0,0.6,2,0,False,False
188,frame_0125.jpg,50.0,0.3931,0.3268,0.2857,0.72,5,2,False,False
189,frame_0097.jpg,38.8,0.391,0.4928,0.4286,0.08,6,3,False,False
190,frame_0396.jpg,158.4,0.391,0.5466,0.2857,0.16,6,2,False,False
191,frame_0303.jpg,121.2,0.3903,0.4651,0.2857,0.36,8,2,False,False
192,frame_0183.jpg,73.2,0.3886,0.5898,0.2857,0.04,4,2,False,False
193,frame_0223.jpg,89.2,0.3885,0.4558,0.4286,0.16,6,3,False,False
194,frame_0213.jpg,85.2,0.3875,0.4652,0.1429,0.56,3,1,False,False
195,frame_0013.jpg,5.2,0.3818,0.3636,0.0,1.0,3,0,False,False
196,frame_0010.jpg,4.0,0.3805,0.3611,0.0,1.0,2,0,False,False
197,frame_0196.jpg,78.4,0.3779,0.5261,0.1429,0.36,2,1,False,False
198,frame_0329.jpg,131.6,0.3769,0.5504,0.2857,0.08,7,2,False,False
199,frame_0214.jpg,85.6,0.3737,0.3679,0.2857,0.52,3,2,False,False
200,frame_0322.jpg,128.8,0.3737,0.4262,0.4286,0.16,6,3,False,False
201,frame_0316.jpg,126.4,0.3716,0.5078,0.2857,0.16,8,2,False,False
202,frame_0276.jpg,110.4,0.3702,0.473,0.2857,0.24,8,2,False,False
203,frame_0233.jpg,93.2,0.3669,0.4663,0.2857,0.24,6,2,False,False
204,frame_0111.jpg,44.4,0.3635,0.4916,0.2857,0.16,4,2,False,False
205,frame_0091.jpg,36.4,0.3601,0.5065,0.1429,0.32,2,1,False,False
206,frame_0323.jpg,129.2,0.3598,0.5001,0.2857,0.12,4,2,False,False
207,frame_0027.jpg,10.8,0.3496,0.2134,0.1429,1.0,5,1,False,False
208,frame_0381.jpg,152.4,0.3495,0.4258,0.4286,0.04,5,3,False,False
209,frame_0179.jpg,71.6,0.3455,0.3858,0.4286,0.12,5,3,False,False
210,frame_0090.jpg,36.0,0.3445,0.3736,0.2857,0.36,6,2,False,False
211,frame_0226.jpg,90.4,0.3404,0.4076,0.4286,0.04,5,3,False,False
212,frame_0096.jpg,38.4,0.3329,0.3607,0.4286,0.12,6,3,False,False
213,frame_0101.jpg,40.4,0.3305,0.5433,0.1429,0.08,3,1,False,False
214,frame_0299.jpg,119.6,0.3278,0.3618,0.1429,0.52,6,1,False,False
215,frame_0310.jpg,124.0,0.3209,0.3526,0.4286,0.08,5,3,False,False
216,frame_0219.jpg,87.6,0.3175,0.4213,0.1429,0.32,4,1,False,False
217,frame_0221.jpg,88.4,0.3175,0.3675,0.2857,0.24,4,2,False,False
218,frame_0311.jpg,124.4,0.3157,0.444,0.2857,0.04,4,2,False,False
219,frame_0203.jpg,81.2,0.3141,0.2864,0.1429,0.64,3,1,False,False
220,frame_0320.jpg,128.0,0.3106,0.4394,0.1429,0.24,6,1,False,False
221,frame_0113.jpg,45.2,0.3065,0.3455,0.2857,0.24,5,2,False,False
222,frame_0267.jpg,106.8,0.3012,0.2973,0.4286,0.12,5,3,False,False
223,frame_0022.jpg,8.8,0.2967,0.1934,0.0,1.0,2,0,False,False
224,frame_0325.jpg,130.0,0.2946,0.4018,0.2857,0.04,3,2,False,False
225,frame_0383.jpg,153.2,0.2929,0.3663,0.2857,0.12,7,2,False,False
226,frame_0204.jpg,81.6,0.2925,0.2273,0.1429,0.68,2,1,False,False
227,frame_0103.jpg,41.2,0.2899,0.43,0.1429,0.16,4,1,False,False
228,frame_0371.jpg,148.4,0.2893,0.3752,0.2857,0.08,3,2,False,False
229,frame_0201.jpg,80.4,0.2889,0.3538,0.0,0.56,4,0,False,False
230,frame_0273.jpg,109.2,0.2852,0.351,0.2857,0.12,6,2,False,False
231,frame_0191.jpg,76.4,0.2839,0.5037,0.0,0.16,3,0,False,False
232,frame_0229.jpg,91.6,0.2826,0.4475,0.1429,0.08,6,1,False,False
233,frame_0192.jpg,76.8,0.2796,0.3935,0.1429,0.2,5,1,False,False
234,frame_0025.jpg,10.0,0.2783,0.1567,0.0,1.0,2,0,False,False
235,frame_0225.jpg,90.0,0.2765,0.521,0.0,0.08,5,0,False,False
236,frame_0309.jpg,123.6,0.2716,0.3238,0.2857,0.12,4,2,False,False
237,frame_0178.jpg,71.2,0.2692,0.3886,0.1429,0.16,7,1,False,False
238,frame_0190.jpg,76.0,0.268,0.4022,0.1429,0.12,4,1,False,False
239,frame_0172.jpg,68.8,0.2661,0.2865,0.1429,0.4,4,1,False,False
240,frame_0271.jpg,108.4,0.2655,0.4292,0.1429,0.04,3,1,False,False
241,frame_0112.jpg,44.8,0.2646,0.4493,0.0,0.2,4,0,False,False
242,frame_0372.jpg,148.8,0.2607,0.3877,0.1429,0.12,6,1,False,False
243,frame_0194.jpg,77.6,0.2597,0.3217,0.1429,0.28,4,1,False,False
244,frame_0382.jpg,152.8,0.2576,0.3117,0.2857,0.08,6,2,False,False
245,frame_0119.jpg,47.6,0.2496,0.2215,0.1429,0.48,3,1,False,False
246,frame_0373.jpg,149.2,0.2488,0.3479,0.1429,0.16,7,1,False,False
247,frame_0102.jpg,40.8,0.2465,0.4451,0.0,0.12,3,0,False,False
248,frame_0393.jpg,157.2,0.2439,0.386,0.1429,0.04,5,1,False,False
249,frame_0092.jpg,36.8,0.2417,0.3714,0.0,0.28,4,0,False,False
250,frame_0224.jpg,89.6,0.2324,0.4168,0.0,0.12,5,0,False,False
251,frame_0110.jpg,44.0,0.2202,0.3067,0.1429,0.12,2,1,False,False
252,frame_0313.jpg,125.2,0.2097,0.3176,0.1429,0.04,4,1,False,False
253,frame_0181.jpg,72.4,0.2096,0.3174,0.1429,0.04,5,1,False,False
254,frame_0093.jpg,37.2,0.2023,0.2228,0.1429,0.24,3,1,False,False
255,frame_0324.jpg,129.6,0.193,0.2682,0.1429,0.08,8,1,False,False
256,frame_0370.jpg,148.0,0.1872,0.2726,0.1429,0.04,6,1,False,False
